Sentence|Gloss
streamingサービスが増えすぎて、どれを選べばいいかわかりません。|There are too many streaming services and I don't know which one to choose.
フォントをboldにしただけで、見出しがずっとはっきりしました。|Just making the font bold made the heading much clearer.
彼はcybersecurityの専門家として、大企業に助言をしています。|He gives advice to large companies as a cybersecurity expert.
このdatasetは量が多すぎて、普通のパソコンでは処理しきれません。|This dataset has too much data and a regular computer can't handle all the processing.
The 音楽 at that underground venue last night was genuinely transcendent.|The music at that underground venue last night was genuinely transcendent.
She has a really 独特 vocal tone that I can't get out of my head.|She has a really unique vocal tone that I can't get out of my head.
Can you turn up the 音量 a little? I can barely hear the opening act.|Can you turn up the volume a little? I can barely hear the opening act.
His guitar solos have this 繊細 quality that makes the whole crowd go quiet.|His guitar solos have this delicate quality that makes the whole crowd go quiet.
We waited outside the 会場 for almost two hours before the doors opened.|We waited outside the venue for almost two hours before the doors opened.
The drummer kept perfect 拍子 even during the most chaotic part of the set.|The drummer kept perfect rhythm even during the most chaotic part of the set.
I honestly think their 最新 album is better than anything they released in the nineties.|I honestly think their latest album is better than anything they released in the nineties.
Are you planning to go to the 野外 festival in August, or is it sold out already?|Are you planning to go to the outdoor festival in August, or is it sold out already?
The lead singer walked onstage so 静かに that nobody noticed until the spotlight hit.|The lead singer walked onstage so quietly that nobody noticed until the spotlight hit.
That bass line hits completely differently when you're standing near the 舞台.|That bass line hits completely differently when you're standing near the stage.
She plays the violin with such 情熱 that even people who hate classical music stop and listen.|She plays the violin with such passion that even people who hate classical music stop and listen.
The 前座 band actually stole the show — nobody expected that.|The opening act actually stole the show — nobody expected that.
I could feel the 振動 of the subwoofers in my chest from thirty feet away.|I could feel the vibration of the subwoofers in my chest from thirty feet away.
